id,Chief of Technology,Systems Manager,Network Manager,Database Administrator,Software Developer,Tester,Quality Assurance Analyst,Web Developer,Penetration Tester,Data Scientist,Chief Executive,Client Support Manager,Operations Manager,Sales Manager,Financial Manager,Human Resources Manager,Project Manager,Product Manager,Marketing Specialist,Designer,Recruiter,English,Spannish,French,German,Russian,Portuguese,HTML,CSS,Bootstrap,Tailwind.css,Javascript,Python,C,C++,Java,React,Vue,PHP,Flutter,SQL,NoSQL,PostgreSQL,MySQL,R,Dart,Linux,Flask,Django,Laravel,Node.js,Git,Docker,Kubernetes,Android,IOS,AWS,Azure,Office Suit,Agile,Google Analytic,Blender,Photoshop,Video Editing,Graphic Design,Filming,Professional Writing,Communication,Negotiation,Speaking,Management,Team working,Critical Thinking,Coordination
madagascarrand,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,38,81,65,12,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,36,26,23,9,47,3,34,11,51,5,90,11,29,17,9
warrantyexclusive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,84,21,12,20,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,35,19,2,30,88,48,58,29,77,2,25,53,85,17,26
stewartgets,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,90,45,9,100,38,17,32,57,29,37,64,94,40,58,20,100,35,87,48,79,95,93,47,24,59,62,22,96,92,89,100,66,73,82,20,82,24,86,47,99,49,98,75,3,9,52,64,91,47,32,34,41
josesister,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,93,72,14,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,52,15,87,80,89,29,33,10,98,49,89,26,49,96,61
achievingcassette,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,66,69,72,56,97,91,40,5,24,30,17,89,86,30,92,85,58,47,47,93,15,34,18,9,23,92,44,86,6,15,39,41,23,74,15,35,67,33,11,10,83,28,2,9,39,97,86,64,23,20,42,81
representinginside,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77,14,51,44,41,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,19,45,12,67,99,3,19,5,4,49,52,56,40,85,39
pipestim,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,61,95,90,56,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,34,95,53,29,65,55,6,43,51,54,70,77,13,11,85
carnivalherald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,56,35,91,74,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,95,44,98,65,97,34,67,77,84,89,41,94,81,17,18
likesgasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,45,58,83,30,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,19,27,32,57,61,28,100,42,23,30,86,83,78,33
sponsorsivory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,90,100,99,21,72,1,72,89,82,89,36,54,54,80,14,9,89,78,94,25,12,80,85,89,71,34,41,18,21,76,75,58,24,78,4,83,8,58,80,89,54,35,53,88,40,61,23,58,92,66,5,45
aprbritish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,34,54,66,45,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,12,39,8,33,14,14,73,58,31,27,54,84,81,50,43
trialscolumbia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,42,88,89,65,34,96,10,52,10,50,26,45,8,66,53,55,27,36,63,21,9,41,54,78,64,46,2,43,18,78,38,65,21,71,0,98,87,64,85,50,6,96,17,8,1,84,57,10,7,80,47
permittedcolour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,59,27,72,16,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,35,84,80,42,37,39,46,11,8,6,91,34,95,75,11
jcoverseas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,23,12,82,66,56,77,46,30,21,17,80,4,100,96,81,98,86,60,22,23,64,66,20,42,84,52,89,24,99,97,65,60,87,38,24,50,76,45,90,24,27,97,29,36,41,17,23,72,47,78,56,53
bpali,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,60,88,13,67,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,39,84,50,30,8,93,85,47,69,53,72,21,28,83,95
abilitiesfitness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74,35,10,32,57,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,5,22,20,35,18,9,38,77,46,30,97,60,56,96,70
figuresbeef,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,16,37,17,74,36,13,65,77,59,30,46,92,44,68,59,9,22,14,97,82,2,82,18,99,15,19,16,49,26,76,98,74,25,52,83,74,29,41,18,56,22,15,6,55,14,62,32,56,96,100,100,77
roommatesoccupational,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,85,45,30,55,95,42,5,91,16,90,79,30,70,92,85,28,55,17,4,32,79,25,16,12,43,85,91,2,67,60,79,41,25,12,26,14,28,14,40,36,34,60,16,84,89,79,100,64,91,1,61,91
penpreferred,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97,23,92,83,59,33,36,89,6,54,38,91,26,29,40,69,21,51,40,95,73,92,79,20,10,31,22,56,95,71,76,41,88,78,70,22,89,71,90,14,23,26,97,85,89,41,10,65,94,67,60,88,49
buffalotuesday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,62,58,20,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,94,88,85,18,57,11,78,28,79,16,92,86,55,20
expiredimportance,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,46,8,10,62,7,52,77,89,95,12,56,81,89,97,77,20,93,83,64,23,12,99,77,45,10,18,95,71,31,14,23,88,7,3,13,59,43,92,43,78,81,3,52,64,15,14,50,48,89,57,32,12
meaningfulce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,91,76,74,44,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,91,45,3,62,29,75,91,97,10,73,35,11,23,84,82
lengthmarket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,49,56,11,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,75,96,91,78,29,100,98,55,94,62,77,81,86,70,46
airportspleasant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,8,80,93,19,41,50,42,100,32,74,17,57,96,7,58,83,54,42,40,79,98,63,12,4,88,47,36,21,94,62,68,36,73,67,90,96,5,46,100,80,66,73,93,50,62,45,77,94,89,36,38
congratulationscross,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,67,27,69,78,75,41,92,45,31,79,63,13,63,93,74,15,65,79,32,91,25,89,67,55,2,48,81,52,67,78,20,68,26,80,68,81,17,29,94,80,44,23,40,77,40,24,27,99,24,12,17,30
hammerclay,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,44,5,28,92,43,19,82,63,9,54,80,5,5,91,52,1,43,4,52,32,4,25,66,90,91,98,79,54,26,34,31,30,92,27,66,83,48,84,64,6,67,30,81,51,66,95,56,91,44,51,45,21
adviceblackjack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,45,30,83,92,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,58,55,89,7,69,11,40,6,47,46,7,70,55,64,2
rgseminars,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,41,55,60,28,63,69,38,87,26,22,44,13,19,18,47,44,23,55,2,1,51,64,6,51,12,41,68,97,26,2,22,41,8,96,75,13,52,99,90,22,34,8,86,49,41,23,99,45,67,1,18,93
effortstrance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,50,92,79,52,97,53,32,80,85,50,49,86,17,6,20,91,15,5,24,36,45,93,68,15,51,42,3,69,61,21,47,8,39,56,83,36,18,73,49,86,88,27,69,36,18,56,22,13,71,32,62,55
equipmentrecreational,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,90,25,72,3,80,43,39,83,56,13,71,48,26,65,42,100,37,13,78,91,20,32,98,68,38,70,29,45,78,64,65,18,73,91,25,66,84,25,99,10,17,31,61,73,53,89,42,42,11,46,34,59
spacesestonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,92,88,11,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,23,53,42,73,21,74,9,1,82,8,81,77,16,65,78
courageprecisely,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,63,83,27,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,47,44,93,86,35,30,48,14,73,85,59,94,99,38,87
orgycondos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,93,12,56,38,33,32,91,6,65,16,14,48,55,55,3,75,26,100,26,14,34,26,11,43,70,21,53,31,68,5,64,72,8,54,40,29,42,18,38,53,20,56,40,56,88,60,45,54,29,98,4,29
pathsprerequisite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,50,12,2,58,95,71,69,60,94,18,70,71,36,70,5,25,97,65,17,22,87,28,89,57,23,21,91,19,11,8,69,60,36,62,47,56,38,81,37,53,39,39,16,25,15,45,4,87,97,3,13,78
firmsaberdeen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,27,17,49,67,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,35,100,7,84,30,1,60,47,57,31,91,53,77,20,53
importancewb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,56,57,27,46,14,39,100,5,3,32,78,76,28,70,97,13,28,84,64,49,92,29,95,6,77,20,62,12,7,94,41,28,47,79,51,86,68,62,55,98,54,58,72,80,81,14,33,44,12,36,26,17
lambalways,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,46,31,31,24,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,64,47,99,99,30,84,86,72,36,54,40,63,15,12,2
finenvironments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,1,48,26,63,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,21,56,99,8,72,0,1,65,76,23,33,10,50,2
pastaworcester,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,88,18,12,20,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,69,89,41,96,32,90,84,27,71,41,75,31,65,93
vacuumclark,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90,22,34,36,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,73,69,14,41,81,38,15,33,22,40,36,36,32,59,91
automobiledelay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,53,23,22,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,34,59,5,98,89,51,97,67,2,90,68,3,38,87
fisheriesrare,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,41,93,51,94,11,38,99,33,91,98,42,73,56,11,15,92,55,90,48,59,96,40,80,11,63,24,17,52,6,37,82,63,89,96,74,73,92,52,7,62,96,13,18,47,12,31,10,5,68,26,43,45
hollandadopted,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4,93,87,23,75,87,34,99,87,87,7,10,62,79,59,94,58,2,66,54,76,79,75,73,72,54,35,64,62,88,77,59,33,38,19,45,89,10,63,43,52,89,40,71,12,31,29,42,0,29,14,49
zusmaldives,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,50,74,22,46,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,57,62,64,78,4,77,33,54,13,59,79,92,19,3,22
juniorover,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,75,87,2,82,73,25,57,13,69,59,5,6,6,6,91,26,35,52,57,17,37,92,36,30,67,63,32,19,59,10,22,87,25,63,16,28,91,43,28,24,17,20,51,53,75,10,90,64,78,94,47,15
builderbundle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,23,13,87,71,43,22,89,75,20,92,44,77,16,1,78,79,76,70,16,4,64,97,83,76,11,72,66,41,26,70,41,52,46,34,75,35,55,70,33,92,75,25,92,14,96,84,73,10,46,17,2,20
challengesfg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,64,80,63,19,5,64,13,6,12,89,5,5,60,84,32,79,67,15,26,31,59,92,40,67,55,90,24,58,14,87,0,12,66,96,19,91,98,16,31,33,93,5,23,8,92,74,22,86,74,63,2,46
victorygsm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,61,77,10,53,6,26,74,81,31,1,76,47,47,79,58,16,75,61,73,17,49,23,80,19,39,29,78,31,92,24,20,94,80,70,25,87,13,13,4,65,32,30,94,90,50,32,53,76,62,37,66,22
alabamawolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,2,80,17,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,99,0,36,43,9,50,85,88,60,87,73,51,61,14
nominationnsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,94,8,60,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4,48,8,54,20,18,8,26,20,63,28,40,43,17,17
religioncopy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86,74,17,99,56,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5,14,81,63,96,63,92,100,31,90,77,29,26,33
voteseattle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,80,14,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,54,53,46,24,7,8,87,25,95,78,72,97,75,27,18
uruguaycube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,98,58,31,73,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,18,49,87,2,70,53,41,16,43,34,98,22,98,69
ovalencourage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,95,11,70,76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9,1,30,21,83,21,54,22,17,6,80,33,11,90,7
devonleisure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,46,3,77,97,89,14,41,51,40,7,91,95,70,46,98,49,83,18,91,72,11,68,33,88,86,47,97,10,39,99,12,63,98,77,41,98,89,60,47,90,21,37,75,66,61,77,10,80,69,96,82,11
gamblingharvey,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,67,74,67,11,42,90,55,46,20,17,10,92,68,93,3,42,0,47,11,22,37,74,15,10,40,69,74,88,100,12,63,98,60,78,69,75,53,14,23,14,90,51,32,13,49,41,42,0,25,56,18,81
essentialdis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,73,32,73,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,8,38,65,42,94,92,26,86,4,31,69,11,10,87
tomexistence,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,31,59,4,6,93,55,35,82,69,45,56,95,41,57,47,88,80,31,20,43,2,8,75,68,10,1,57,69,23,7,63,34,30,56,84,45,32,25,49,42,41,56,36,88,61,25,52,98,42,42,30
packssculpture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,70,67,5,7,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,64,60,53,80,60,76,98,98,56,55,17,94,58,30
worrycall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,98,17,7,55,38,28,63,47,20,89,24,64,80,14,78,22,54,3,9,79,48,19,31,3,28,38,19,63,93,71,43,100,6,41,63,90,31,94,94,41,2,51,68,86,16,67,100,73,27,27,6,57
preservebarbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,100,49,72,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,54,22,52,20,5,45,60,59,19,79,58,62,17,2,16
clubscomfortable,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73,42,48,43,71,45,64,97,63,81,25,91,79,50,81,83,70,87,25,24,21,25,44,11,55,69,2,95,39,17,28,34,80,80,24,9,34,87,61,91,67,26,25,85,46,21,19,31,89,99,60,19,88
attachmentsspirits,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,15,61,87,97,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,72,60,15,82,5,9,60,46,3,10,26,56,50,10,45
highergovernor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,38,29,71,52,63,38,18,18,63,0,26,13,84,12,41,18,72,50,46,73,53,73,81,23,8,49,53,79,91,95,100,54,80,93,35,75,68,76,68,49,78,96,97,79,60,3,82,64,67,32,92
parkhitachi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,51,9,71,39,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,91,8,46,9,87,17,13,85,50,86,59,95,100,15,83
prescribedwhenever,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,6,39,67,7,20,68,14,84,53,42,62,26,83,71,17,72,64,12,50,80,38,34,94,76,33,28,47,10,54,61,49,45,83,55,42,57,67,48,70,41,51,28,86,12,91,47,4,40,46,61,29,66
sfjohnston,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,76,3,91,72,70,92,76,15,89,66,69,53,33,14,25,90,12,91,67,10,71,67,59,3,54,36,85,22,63,73,99,85,74,94,16,73,63,32,16,12,42,44,78,72,20,25,98,13,84,60,46
stoodecuador,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,58,60,7,68,35,18,80,30,68,12,95,67,48,88,67,71,90,82,75,3,58,86,23,72,19,5,45,43,72,70,58,55,82,12,59,17,20,23,19,27,51,14,60,64,1,86,86,5,43,24,34,10
breathingcooling,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,14,29,36,23,24,49,59,28,55,79,48,95,20,97,46,92,6,44,8,18,35,20,78,4,3,30,82,48,18,11,91,5,17,43,77,4,57,14,55,25,9,81,66,21,9,21,68,48,52,19,48,72
